Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
2024-07-30,2680.725341796875,2743.425865676038,2674.749138841389,2704.8295549218583,1560399
2024-07-31,2694.9189453125,2698.903080795776,2664.4404547688378,2694.2716205654,1751085
2024-08-01,2704.77978515625,2714.1424061297757,2684.5103989262543,2703.2358840456345,1886392
2024-08-02,2681.87109375,2748.5555139166636,2670.5161615234783,2701.2439042369965,1738872
2024-08-05,2705.128173828125,2731.1247539850956,2655.6253412543256,2665.3366710688238,3118731
2024-08-06,2739.142822265625,2760.756707264294,2697.906876711927,2709.3116583511332,2296031
2024-08-07,2733.166748046875,2770.816876394826,2724.650609953407,2770.667325413201,1713875
2024-08-08,2722.359619140625,2748.3063490810828,2709.610337465212,2743.077171466631,1464161
2024-08-09,2736.30419921875,2747.0614136499603,2707.8177764381794,2745.0693459098225,1284031
2024-08-12,2737.798095703125,2752.4397441333695,2711.6023577624155,2727.1405825285838,1297178
2024-08-13,2730.527099609375,2746.7126496747696,2719.2721116402236,2731.1248171884126,1051237
2024-08-14,2711.25390625,2731.672599544068,2695.865232377471,2730.128698489809,946995
2024-08-16,2737.35009765625,2742.6789761577716,2699.94897700614,2727.041049778478,1727926
2024-08-19,2731.672607421875,2748.8043405274498,2726.194421400351,2739.1428610875896,1130327
2024-08-20,2740.138916015625,2745.31824329595,2724.202374739349,2731.6726284626034,1097889
2024-08-21,2780.129638671875,2784.014316597518,2732.0710053197217,2738.5950756838574,1417729
2024-08-22,2781.723388671875,2798.8551222805504,2771.0658750969446,2791.8330349940998,1552947
2024-08-23,2804.43310546875,2809.8115911818727,2760.358606032452,2788.0980038420653,2111401
2024-08-26,2809.960693359375,2823.706008608755,2792.4804944847815,2804.4329002368822,1152244
2024-08-27,2755.926025390625,2812.8993574528417,2748.6053223289196,2797.8591487045783,1357212
2024-08-28,2753.38623046875,2770.7171219377433,2734.8599038592824,2749.05338601534,1723549
2024-08-29,2774.203369140625,2798.855207713906,2734.113005400239,2758.9640021154028,2129934
2024-08-30,2766.98193359375,2805.130077281,2749.1530256030196,2784.6116834562663,4029712
2024-09-02,2777.98828125,2797.7594074347394,2767.9780923391727,2782.918600214339,957950
2024-09-03,2783.217529296875,2816.7339722076963,2763.994026710869,2768.974196128366,2022116
2024-09-04,2829.981201171875,2832.570986473555,2760.657147333982,2768.9741273234713,1640986
2024-09-05,2827.192138671875,2843.676546974439,2812.4507895487172,2828.785890047688,1945173
2024-09-06,2827.690185546875,2855.0811157992525,2816.8833644234205,2816.8833644234205,1672730
2024-09-09,2910.211669921875,2926.546527334689,2831.9233142392327,2841.7841949809936,3342754
2024-09-10,2887.103759765625,2925.949079174088,2876.047686972749,2922.3632601136087,1536584
2024-09-11,2892.631591796875,2938.299840829201,2886.6057815764243,2900.0522384751343,1913665
2024-09-12,2944.67431640625,2951.646553213085,2882.72106084284,2899.454477813708,2454564
2024-09-13,2921.3173828125,2944.674327569478,2906.924742555436,2944.674327569478,1902001
2024-09-16,2855.728759765625,2898.4585148287047,2796.2653441503494,2898.4585148287047,1489057
2024-09-17,2862.103271484375,2902.3429418047845,2848.7565151469407,2855.7287521054895,1098661
2024-09-18,2864.444091796875,2882.0738425967133,2850.3500666846962,2862.601331875205,464796
2024-09-19,2900.20166015625,2922.662272862675,2861.9540563004307,2864.8424572935223,1713010
2024-09-20,2965.79052734375,2977.4939252324452,2883.916349278162,2913.19989074987,3641632
2024-09-23,3016.538330078125,3022.9626997016753,2958.1706498759113,2968.180838586818,1300470
2024-09-24,2938.84765625,3008.0221568856377,2934.4153543552784,3008.0221568856377,1929308
2024-09-25,2937.25390625,2948.608837784103,2893.5779688282487,2938.847657642537,1055354
2024-09-26,2974.2568359375,2980.980064558783,2929.534769279197,2939.395650493811,1902889
2024-09-27,2954.4853515625,3017.98250829646,2941.038894842367,2974.2567203791796,2977081
2024-09-30,2946.56689453125,2986.0096878488685,2930.92921221193,2952.4433967927253,1627702
2024-10-01,2912.154052734375,2950.9495236737444,2879.9322594907662,2950.9495236737444,1184642
2024-10-03,2881.87451171875,2911.506517466372,2849.752421454521,2897.213335072122,1233447
2024-10-04,2837.451416015625,2902.442624403521,2805.8771917627905,2879.533845967941,2456486
2024-10-07,2822.162109375,2855.081075539492,2813.8453729372186,2833.7161988783696,1280975
2024-10-08,2807.620361328125,2874.5537897097693,2787.5999829874077,2832.7203665746997,1761488
2024-10-09,2757.9677734375,2814.642243209467,2749.750494493462,2812.2017658336867,1476282
2024-10-10,2743.7744140625,2776.344672514175,2722.3596861618266,2759.0137806913986,2065078
2024-10-11,2772.161376953125,2778.9344558024495,2726.194511807976,2753.834451287732,679307
2024-10-14,2778.0380859375,2793.576067969005,2754.0335730768334,2780.528170542452,874010
2024-10-15,2770.418212890625,2788.197513800899,2754.282513682522,2782.02215276722,1082666
2024-10-16,2770.21923828125,2786.4546392155767,2744.671066440282,2778.087808691389,1170797
2024-10-17,2727.7880859375,2770.96625186873,2712.6484196084857,2768.4263168423636,1368242
2024-10-18,2706.32373046875,2729.1328088651503,2682.7673834961315,2727.7880658692216,1137277
2024-10-21,2682.866943359375,2727.140598005163,2669.8188030539727,2704.231820154864,792345
2024-10-22,2671.06396484375,2699.2517718335253,2663.1455442582615,2674.4506258852416,1272253
2024-10-23,2648.7529296875,2682.369072934046,2610.604783679916,2610.604783679916,1431962
2024-10-24,2495.16455078125,2636.501659992457,2442.872772485215,2636.501659992457,9216267
2024-10-25,2518.0234375,2529.925993440975,2490.184339868058,2492.3755657161005,2761166
2024-10-28,2565.583984375,2579.3292998443194,2510.104948755738,2533.9100599906524,852829
2024-10-29,2537.545654296875,2575.444792620695,2525.9419566937745,2575.444792620695,1695654
2024-10-30,2544.816650390625,2553.1336303527046,2523.3520721708483,2546.8585684287978,1200637
2024-10-31,2518.22265625,2553.3328505080094,2514.0892129183453,2544.816712202451,1901355
2024-11-01,2527.435791015625,2535.8522280694697,2501.3896041722132,2533.8601604509354,118532
2024-11-04,2514.786376953125,2536.8982803499775,2493.5708067750957,2536.8982803499775,1097260
2024-11-05,2511.35009765625,2520.214701838305,2497.0569143399384,2510.0053546616055,702046
2024-11-06,2500.699951171875,2522.10009765625,2495.0,2515.199951171875,1219166
2024-11-07,2475.5,2509.89990234375,2466.10009765625,2500.699951171875,1322446
2024-11-08,2507.699951171875,2515.25,2467.300048828125,2483.949951171875,1700877
2024-11-11,2491.050048828125,2514.89990234375,2475.050048828125,2509.0,1175577
2024-11-12,2461.5,2496.949951171875,2456.0,2495.0,1624222
2024-11-13,2464.949951171875,2472.800048828125,2450.39990234375,2462.10009765625,1262017
2024-11-14,2389.199951171875,2464.699951171875,2383.699951171875,2460.39990234375,2443393
2024-11-18,2422.89990234375,2425.0,2375.75,2401.14990234375,1374215
2024-11-19,2410.35009765625,2440.199951171875,2405.10009765625,2431.89990234375,1133370
2024-11-21,2382.800048828125,2424.75,2376.10009765625,2424.75,1291829
2024-11-22,2445.25,2452.10009765625,2377.85009765625,2390.949951171875,1696471
2024-11-25,2471.449951171875,2505.699951171875,2457.60009765625,2470.0,4368045
2024-11-26,2479.199951171875,2494.949951171875,2460.39990234375,2486.25,982442
2024-11-27,2486.89990234375,2492.949951171875,2458.0,2475.14990234375,948232
2024-11-28,2462.199951171875,2539.14990234375,2453.199951171875,2486.0,2540530
2024-11-29,2496.14990234375,2507.5,2455.10009765625,2455.10009765625,1795164
2024-12-02,2479.14990234375,2490.5,2460.550048828125,2485.0,1006993
2024-12-03,2482.85009765625,2491.449951171875,2466.0,2480.0,1641588
2024-12-04,2464.5,2493.0,2456.550048828125,2481.10009765625,1321495
2024-12-05,2494.60009765625,2515.0,2450.050048828125,2465.60009765625,2071795
2024-12-06,2483.800048828125,2495.800048828125,2475.0,2495.0,1308086
2024-12-09,2400.75,2476.949951171875,2383.300048828125,2465.0,3385021
2024-12-10,2397.35009765625,2413.0,2388.300048828125,2408.699951171875,2063838
2024-12-11,2401.35009765625,2409.35009765625,2385.0,2405.0,1718225
2024-12-12,2344.949951171875,2399.949951171875,2338.0,2385.050048828125,3231056
2024-12-13,2390.10009765625,2394.550048828125,2333.449951171875,2344.949951171875,2260902
2024-12-16,2366.14990234375,2393.0,2363.0,2390.300048828125,1247552
2024-12-17,2363.25,2380.0,2353.35009765625,2353.35009765625,2131569
2024-12-18,2359.199951171875,2383.0,2350.050048828125,2350.050048828125,988403
2024-12-19,2359.85009765625,2386.949951171875,2336.0,2347.0,1655915
2024-12-20,2333.89990234375,2373.5,2324.64990234375,2352.10009765625,2069691
2024-12-23,2338.89990234375,2351.75,2315.25,2337.0,1066199
2024-12-24,2335.550048828125,2356.949951171875,2331.10009765625,2331.10009765625,683646
2024-12-26,2332.75,2341.85009765625,2324.699951171875,2332.25,1033769
2024-12-27,2341.25,2345.64990234375,2328.25,2343.0,556816
2024-12-30,2343.5,2359.14990234375,2325.0,2341.5,924180
2024-12-31,2326.85009765625,2352.64990234375,2323.25,2340.0,1878762
2025-01-01,2322.10009765625,2337.14990234375,2320.25,2325.0,559893
2025-01-02,2370.0,2379.64990234375,2315.5,2330.0,1650744
2025-01-03,2406.25,2414.60009765625,2364.800048828125,2381.85009765625,1274239
2025-01-06,2376.199951171875,2418.949951171875,2361.64990234375,2418.0,900419
2025-01-07,2390.800048828125,2402.25,2375.25,2377.14990234375,922768
2025-01-08,2401.0,2409.0,2368.0,2391.0,953351
2025-01-09,2435.39990234375,2473.64990234375,2386.39990234375,2405.050048828125,2425267
2025-01-10,2442.050048828125,2456.0,2413.800048828125,2435.39990234375,1651911
2025-01-13,2451.0,2460.5,2409.050048828125,2417.050048828125,2595013
2025-01-14,2367.949951171875,2468.0,2364.10009765625,2465.0,2052741
2025-01-15,2373.0,2384.89990234375,2350.10009765625,2373.89990234375,1215150
2025-01-16,2345.0,2380.0,2326.050048828125,2376.949951171875,2762596
2025-01-17,2354.0,2379.300048828125,2343.0,2350.0,1333005
2025-01-20,2345.199951171875,2368.0,2335.64990234375,2356.449951171875,1382273
2025-01-21,2340.5,2377.300048828125,2332.449951171875,2353.5,1842885
2025-01-22,2342.949951171875,2362.0,2332.199951171875,2342.550048828125,2658047
2025-01-23,2321.699951171875,2341.300048828125,2253.85009765625,2315.0,3408925
2025-01-24,2368.10009765625,2380.800048828125,2323.0,2332.85009765625,1688664
2025-01-27,2392.85009765625,2409.699951171875,2361.14990234375,2365.0,2477358
2025-01-28,2388.85009765625,2407.0,2379.449951171875,2401.0,1892156
2025-01-29,2383.949951171875,2396.0,2364.0,2385.14990234375,699576
2025-01-30,2408.75,2425.0,2384.0,2384.0,1419960
2025-01-31,2468.800048828125,2479.0,2401.5,2401.5,2116148
2025-02-01,2506.050048828125,2602.0,2435.14990234375,2475.0,2970999
2025-02-03,2441.949951171875,2520.0,2416.5,2505.0,2528480
2025-02-04,2438.050048828125,2450.0,2402.85009765625,2450.0,1992474
2025-02-05,2391.050048828125,2453.0,2387.0,2453.0,1357416
2025-02-06,2372.699951171875,2408.949951171875,2360.300048828125,2400.0,1132113
2025-02-07,2363.85009765625,2381.949951171875,2336.10009765625,2380.0,855602
2025-02-10,2361.449951171875,2398.0,2352.050048828125,2370.89990234375,1326354
2025-02-11,2315.25,2377.949951171875,2296.550048828125,2371.0,1389260
2025-02-12,2332.5,2339.89990234375,2305.10009765625,2325.699951171875,1341909
2025-02-13,2321.5,2345.60009765625,2313.35009765625,2330.10009765625,1334967
2025-02-14,2318.35009765625,2366.0,2313.39990234375,2322.0,1135380
2025-02-17,2329.39990234375,2336.0,2300.0,2318.35009765625,1409168
2025-02-18,2296.0,2338.550048828125,2288.0,2329.39990234375,1035705
2025-02-19,2250.39990234375,2305.699951171875,2248.0,2298.75,1521343
2025-02-20,2248.050048828125,2254.449951171875,2226.5,2250.39990234375,2206196
2025-02-21,2241.64990234375,2253.550048828125,2226.39990234375,2248.050048828125,1781509
2025-02-24,2241.449951171875,2251.0,2218.800048828125,2230.0,1627949
2025-02-25,2259.300048828125,2269.60009765625,2237.949951171875,2243.0,1988040
2025-02-27,2244.949951171875,2269.64990234375,2233.10009765625,2269.64990234375,1699658
2025-02-28,2190.25,2249.60009765625,2185.85009765625,2245.050048828125,3683249
2025-03-03,2176.85009765625,2199.0,2158.5,2199.0,1306470
2025-03-04,2157.35009765625,2180.0,2136.0,2179.949951171875,1800330
2025-03-05,2170.449951171875,2191.89990234375,2150.0,2152.0,1145673
2025-03-06,2218.949951171875,2229.800048828125,2163.75,2175.0,1856868
2025-03-07,2204.550048828125,2226.699951171875,2189.199951171875,2226.699951171875,1738356
2025-03-10,2247.75,2267.14990234375,2194.64990234375,2208.0,1242387
2025-03-11,2216.949951171875,2262.449951171875,2211.25,2240.0,1325891
2025-03-12,2192.89990234375,2229.949951171875,2185.0,2217.35009765625,1526212
2025-03-13,2174.800048828125,2209.949951171875,2164.449951171875,2185.0,1845629
2025-03-17,2171.25,2195.449951171875,2156.5,2161.0,1111886
2025-03-18,2171.25,2171.25,2171.25,2171.25,0
2025-03-19,2200.050048828125,2212.85009765625,2193.449951171875,2207.0,1341405
2025-03-20,2242.39990234375,2248.89990234375,2188.449951171875,2203.89990234375,1426689
2025-03-21,2246.199951171875,2255.199951171875,2225.800048828125,2245.0,2152415
2025-03-24,2256.199951171875,2266.0,2241.0,2250.25,1454404
2025-03-25,2271.300048828125,2292.0,2243.35009765625,2250.75,2229340
2025-03-26,2245.949951171875,2279.89990234375,2237.800048828125,2272.0,1416907
2025-03-27,2244.64990234375,2260.89990234375,2200.0,2244.199951171875,3752627
2025-03-28,2258.85009765625,2296.0,2240.300048828125,2247.0,2280152
2025-04-01,2233.85009765625,2284.64990234375,2220.0,2259.0,2495962
2025-04-02,2237.89990234375,2243.699951171875,2190.050048828125,2243.699951171875,1351493
2025-04-03,2244.550048828125,2252.89990234375,2220.60009765625,2225.449951171875,1310088
2025-04-04,2244.550048828125,2267.050048828125,2222.0,2230.0,1120226
2025-04-07,2249.39990234375,2261.60009765625,2150.0,2150.0,3435185
2025-04-08,2289.25,2306.199951171875,2252.35009765625,2268.300048828125,2774874
2025-04-09,2350.0,2354.14990234375,2289.5,2293.949951171875,2989089
2025-04-11,2366.14990234375,2394.85009765625,2344.35009765625,2394.60009765625,3836083
2025-04-15,2361.5,2400.0,2345.199951171875,2400.0,3042779
2025-04-16,2366.60009765625,2376.0,2351.0,2351.0,1131979
2025-04-17,2375.0,2379.89990234375,2343.10009765625,2357.10009765625,1962402
2025-04-21,2351.0,2372.39990234375,2348.800048828125,2368.10009765625,1478430
2025-04-22,2398.699951171875,2406.0,2355.10009765625,2370.0,2352346
2025-04-23,2423.800048828125,2438.0,2393.39990234375,2410.0,2225977
